,店舗名,電話番号,都道府県,区市町村,番地,建物名,URL,SSL
0,ブッフェレストラン「ブリッジ」,050-5485-2698,広島県,広島市東区,若草町12-1,シェラトングランドホテル広島6F,https://y257300.gorp.jp/,True
1,お好み焼 ねぎ庵 流川店,050-5488-4066,広島県,広島市中区,三川町9-22,第2KTビル2F,https://ya1m500.gorp.jp/,True
2,食辛房広島中筋店,050-5487-3838,広島県,広島市安佐南区,中筋1-1-1,,https://y266614.gorp.jp/,True
3,Cave de Vins 柿さか,050-5486-1482,広島県,広島市東区,牛田本町3-2-20,牛田グランドハイツB1,https://y787500.gorp.jp/,True
4,カフェ・ブランシュ,050-5487-2854,広島県,広島市安佐南区,祇園5-3-26,1F,https://y994100.gorp.jp/,True
5,えびす海鮮 さかな市場,050-5486-1748,広島県,広島市中区,堀川町3-13,ラッキー会館ビルB1,https://y017605.gorp.jp/,True
6,三代目網元 さかなや道場可部店,050-5485-2010,広島県,広島市安佐北区,可部3-37-36,桝本可部店舗1F,https://y089235.gorp.jp/,True
7,旨唐揚げと居酒メシ ミライザカ広島駅南口店,050-5492-3940,広島県,広島市南区,松原町10-1,HIROSHIMA FULL FOCUS 3F,https://y056613.gorp.jp/,True
8,カープ鳥 毘沙門店,050-5494-5520,広島県,広島市安佐南区,緑井3-11-21,,https://ya2j801.gorp.jp/,True
9,Luce,050-5485-5380,広島県,広島市中区,袋町4-3,袋町功征ビル4F,https://y249600.gorp.jp/,True
10,すもう鳥薬研堀場所,050-5486-4170,広島県,広島市中区,薬研堀6-3,今井ビル1F,https://y544701.gorp.jp/,True
11,大漁酒場魚樽本店,050-5486-1290,広島県,広島市中区,薬研堀3-8,,https://y121501.gorp.jp/,True
12,オイスターバー MABUI袋町,050-5485-9942,広島県,広島市中区,袋町2-26,1F,https://y516602.gorp.jp/,True
13,鉄板焼 愛宕,050-5484-3938,広島県,広島市中区,中町7-20,ANAクラウンプラザホテル広島 別館1F,https://teppanyakiatago.gorp.jp/,True
14,村上水軍本店,050-5488-7702,広島県,広島市中区,銀山町11-26,岡三ビル1F,https://y177600.gorp.jp/,True
15,個室焼肉 喰切じろう,050-5487-9656,広島県,広島市中区,胡町2-10,2F,https://kuikiri-jirou.gorp.jp/,True
16,個室DINING Procida‐プロチダ‐,050-5486-5713,広島県,広島市中区,立町4-1,3F,https://y926100.gorp.jp/,True
17,海鮮処 味楽亭,050-5486-9622,広島県,広島市西区,草津新町2-17-7,,https://y969000.gorp.jp/,True
18,こぶしロマン,050-5487-1582,広島県,広島市中区,鉄砲町9-3,クレセントヒルズ1F,https://kobushi-roman.gorp.jp/,True
19,焼肉 牛舞 袋町店,050-5492-1652,広島県,広島市中区,袋町6-4,,https://ya30801.gorp.jp/,True
20,小池商店,050-5485-8246,広島県,広島市中区,袋町8-14,,https://y847700.gorp.jp/,True
21,本通り 然然,050-5488-4909,広島県,広島市中区,本通6-14,,https://y144408.gorp.jp/,True
22,塩焼肉とからから鍋 唐魂 ‐TOKON‐ エキニシ店,050-5488-4892,広島県,広島市南区,大須賀町10-7,,https://ya1s301.gorp.jp/,True
23,百百の木,050-5492-5365,広島県,広島市中区,銀山町12-20,８７ビル1F,https://y075800.gorp.jp/,True
24,体にやさしい創作おばんざい AGRI,050-5486-3411,広島県,広島市中区,中町4-18,エスポアールビル1F,https://agri.gorp.jp/,True
25,全席個室 じぶんどき 広島中央通り店,050-5485-7616,広島県,広島市中区,堀川町4-11,広島アサヒビール館4F,,False
26,大衆食堂 安べゑ 海田市駅南口店,050-5492-2046,広島県,安芸郡海田町,窪町7-22,DMビル2F,https://y089223.gorp.jp/,True
27,炉ばた焼 白雪,050-5488-8085,広島県,広島市中区,堀川町1-16,,https://ya20200.gorp.jp/,True
28,袋町ワイン食堂 LE JYAN JYAN‐ルジャンジャン‐,050-5486-4358,広島県,広島市中区,袋町4-1,2F,https://y121528.gorp.jp/,True
29,吟結 はなもり,050-5494-5596,広島県,広島市中区,三川町10-18,平ビル5F,https://y120003.gorp.jp/,True
30,牛たんと鶏すき 広島赤鶏の店てごう屋,050-5485-4471,広島県,広島市中区,紙屋町1-5-3,,https://tegouya.gorp.jp/,True
31,三代目鳥メロ 広島駅新幹線口店,050-5492-3996,広島県,広島市東区,若草町11-2,グランアークテラス2F,https://y063225.gorp.jp/,True
32,黒毛和牛焼肉 ±  ‐ぷらすまいなす‐,050-5484-8262,広島県,広島市中区,流川町5-12,,https://y279801.gorp.jp/,True
33,とり鉄広島本通店,050-5487-9756,広島県,広島市中区,立町6-1,立町ウィングB1,https://gaed860.gorp.jp/,True
34,広島 アンデルセン ―アンデルセンキッチン―,050-5493-8802,広島県,広島市中区,本通7-1,,https://ya59300.gorp.jp/,True
35,イタリア料理ソッジョルノ Soggiorno,050-5493-1185,広島県,広島市中区,小町1-20,今井広島ビル1F,https://ya4e000.gorp.jp/,True
36,EARTORY 旅Bar＆Dining ‐アトリ‐,050-5488-7840,広島県,広島市南区,大須賀町11-8,,https://ya22400.gorp.jp/,True
37,十二ヶ月,050-5485-5375,広島県,広島市中区,国泰寺町1-1-6,,https://y187100.gorp.jp/,True
38,大人の隠れ家 ああばん,050-5487-0410,広島県,広島市東区,光町2-5-3,第1平勝ビル1F,https://aaban-0513.gorp.jp/,True
39,炭火焼肉ぶち舟入店,050-5486-3413,広島県,広島市中区,舟入川口町13-33,,https://y221307.gorp.jp/,True
40,炭火串焼 鳥神 TORISHIN,050-5492-7228,広島県,広島市中区,流川町3-4,フジヤマビル1F,https://y626303.gorp.jp/,True
41,炭焼 一扇,050-5494-3242,広島県,広島市西区,横川町3-1-23,,https://ya2t500.gorp.jp/,True
42,SEASIDE＆STYLE Pachi Pachi－パチパチ－,050-5489-4592,広島県,広島市西区,観音新町4-14,,https://y979600.gorp.jp/,True
43,SUZU CAFE‐hiroshima‐,050-5484-7319,広島県,広島市東区,若草町12-1,ACTIVEINTERCITY広島2F,https://y186807.gorp.jp/,True
44,肉バルTORICO ‐トリコ‐,050-5488-3369,広島県,広島市中区,薬研堀1-15,,https://ya15800.gorp.jp/,True
45,オイスターバー MABUI広島駅前店,050-5488-2241,広島県,広島市南区,猿猴橋町2-6,,https://y516609.gorp.jp/,True
46,勝手にサワー 白木屋 広島八丁堀駅前店,082-247-8988,広島県,広島市中区,堀川町4-17,小松屋ビルB1,https://y043445.gorp.jp/,True
47,フレンチレストラン ソンスクレ～Cent secrets～,050-5485-4312,広島県,広島市中区,中町2-8,アルコビル1F,https://y827900.gorp.jp/,True
48,袋町ワイン食堂 LE JYAN JYAN‐ルジャンジャン‐,050-5486-4358,広島県,広島市中区,袋町4-1,2F,https://y121528.gorp.jp/,True
49,全席個室 じぶんどき 広島中央通り店,050-5485-7616,広島県,広島市中区,堀川町4-11,広島アサヒビール館4F,,False
