店舗名,メールアドレス,電話番号,都道府県,区市町村,番地,建物名,URL,SSL
青龍門 池袋店,seiryumon-ikebukuro@libraz.co.jp,050-5484-3885,東京都,豊島区,南池袋1-19-6,オリックス池袋ビルB1,http://www.libraz.co.jp/,False
とりのすけ日吉浜銀通り店,None,050-5492-4352,神奈川県,横浜市港北区,日吉本町1-5-24,ノーム日吉B1,https://ghjg501.gorp.jp/,True
GARDEN＆FOREST 一期,None,050-5487-5842,福島県,福島市,置賜町8-3,アオイビル2・3F,https://ichigo.gorp.jp/,True
宮崎県日南市 塚田農場 水戸駅北口店,None,050-5485-5780,茨城県,水戸市,宮町2-3-38,水戸シルバーインB1,https://www.tsukadanojo.jp/shop_detail/0151,True
樽生ワイン OKINAWA・BAR＆ 宴会個室 もにょ,None,050-5485-4911,茨城県,守谷市,中央3-17-5,,https://gej6700.gorp.jp/,True
全席完全個室 居酒屋 きんぱち なんば店,None,050-5484-6369,大阪府,大阪市中央区,難波千日前13-10,アソルティ難波6F,https://kinpachi-namba.gorp.jp/,True
ぴよっと 澄川店,None,050-5485-7460,北海道,札幌市南区,澄川4条1-1-25,,https://h831202.gorp.jp/,True
とり鮮,None,050-5484-6000,宮城県,仙台市太白区,長町3-6-9,,https://t587802.gorp.jp/,True
完全個室×海鮮居酒屋 50種以上の日本酒 神の斬新,None,050-5484-5895,福島県,福島市,置賜町5-3,B1,https://www.amber-group.jp/,True
天ぷらと鉄板焼き×青森郷土料理 極じらいや,None,050-5487-5741,青森県,青森市,本町2-5-15,1F,https://ta1v301.gorp.jp/,True
個室居酒屋 山善,None,050-5494-4737,青森県,弘前市,土手町20-3,,https://ta2t305.gorp.jp/,True
全席個室 楽蔵‐RAKUZO‐ 郡山駅前店,None,050-5484-9634,福島県,郡山市,駅前2-3-8,エリート39ビル4F,http://rakuzo.dkdining.com/koriyama/,False
北海道料理 海さくら 都通店,None,011-219-7716,北海道,札幌市中央区,南3条西4,カミヤビルB1F,http://sakura-chops.com/,False
青森地酒と直送鮮魚 稲瀬 －inase－,None,050-5489-4480,青森県,八戸市,八日町1-1,,https://ta43900.gorp.jp/,True
くつろぎダイニング とりあえず吾平 仙台宮城野新田東店,None,050-5485-0279,宮城県,仙台市宮城野区,新田東1-18-2,,http://www.g-taste.co.jp/gohei/,False
個室居酒屋 蔵之介ーKURANOSUKEー 土浦店,None,050-5488-1596,茨城県,土浦市,大和町4-1,4F,https://gf9a504.gorp.jp/,True
炭火焼肉 やなぎ家 新さっぽろ店,None,050-5485-3628,北海道,札幌市厚別区,厚別中央2条5-2-30,1F,https://ha68900.gorp.jp/,True
牛タンやまゆり 守谷駅前店,None,050-5487-9485,茨城県,守谷市,中央2-16-1,アワーズもりや2F,https://gfht801.gorp.jp/,True
ダイニングバー 伝,None,050-5484-5089,山形県,南陽市,赤湯416,,https://diningbar-den.gorp.jp/,True
鮨割烹 和蔵,None,050-5492-8683,福島県,福島市,置賜町8-19,第1清水ビル1F,https://t954102.gorp.jp/,True
日光湯波巻き 全 ZEN,None,050-5485-2554,栃木県,日光市,上鉢石町1007,,https://nikkoyubamakizen.gorp.jp/,True
完全個室×和風居酒屋 梅吉（うめきち） 泉中央店,None,050-5485-4772,宮城県,仙台市泉区,泉中央3-9-2,グランディア泉中央2F,http://www.umekichi.info/,False
魚民 ひたち野うしく西口駅前店,None,029-874-6088,茨城県,牛久市,ひたち野西3-35-11,パルムひたち野1F,https://www.monteroza.co.jp/shop.html?shop=871006,True
蕎麦酒房と個室懐石 一献 庵,None,050-5488-0779,愛知県,豊田市,桜町1-63,シングルプレイス1F,https://ikkon-hanare-aichi.gorp.jp/,True
十八,None,050-5485-7557,滋賀県,大津市,末広町2-25,,https://toppachi.gorp.jp/,True
和牛肉寿司x鮮魚3H食べ飲み放題 個室バル ノウ家 八王子,None,042-698-5117,東京都,八王子市,東町12-14,8F,https://ghuw500.gorp.jp/,True
欧風カレー 白山舎,None,050-5489-3287,福岡県,福岡市早良区,小田部6-13-20,,https://fbpr100.gorp.jp/,True
串カツ屋台 まいこ 香里園店,None,050-5488-2579,大阪府,寝屋川市,香里新町7-1,,https://ka6s422.gorp.jp/,True
俺の店帯広白樺通店,None,0155-34-6188,北海道,帯広市,西19条南3-27-1,36.モンテローザ帯広ビル1～2F,https://www.monteroza.co.jp/shop.html?utm_source=gmaps&?shop=884002,True
個室 肉割烹 牛若丸 高松瓦町店,None,050-5489-1394,香川県,高松市,今新町1-14,坂東第3ビル2F,https://y500733.gorp.jp/,True
ステーキの石かわ 伊勢店,None,050-5493-3859,三重県,伊勢市,吹上1-11-31,伊勢シティホテル1F,http://www.greens.co.jp/isech/,False
本場中華料理×手作り点心 百香亭 守谷店,None,050-5485-6120,茨城県,守谷市,本町204-1,,http://www.hyakkoutei.com/,False
本格イタリアンレストラン Bel e Moco（ベルエモコ）,None,050-5493-7538,千葉県,白井市,富士153-1,,https://bel-e-moco.jp/,True
焼肉 カルビ一丁 御殿場店,None,050-5485-5094,静岡県,御殿場市,萩原815-1,,https://karubi-gotemba.gorp.jp/,True
海物語 本店,None,050-5487-2278,沖縄県,国頭郡恩納村,字名嘉真2246,,https://umimonogatari.gorp.jp/,True
GABULI,None,050-5484-6047,石川県,能美市,辰口町471-5,,https://gabuli-info.gorp.jp/,True
Delices tarte＆cafe 大丸心斎橋店,None,050-5485-8838,大阪府,大阪市中央区,心斎橋筋1-7-1,大丸心斎橋店 本館7F,https://kcms124.gorp.jp/,True
日光湯波巻き 全 ZEN,None,050-5485-2554,栃木県,日光市,上鉢石町1007,,https://nikkoyubamakizen.gorp.jp/,True
串家物語 ららぽーと沼津店,None,050-5488-8171,静岡県,沼津市,東椎路字東荒301-3,ららぽーと沼津1F,https://n879025.gorp.jp/,True
焼肉 月山亭,None,050-5487-8295,埼玉県,春日部市,谷原3-16-4,,https://gasan.gorp.jp/,True
もちの木パスタ 三鷹店,None,050-5494-4056,東京都,三鷹市,野崎1-2-9,,https://mochinoki-pasta.com/,True
PCH coffee,None,050-5494-2462,神奈川県,藤沢市,鵠沼海岸7-12-17,,https://gh5t500.gorp.jp/,True
華屋与兵衛 所沢北原店,None,050-5494-2794,埼玉県,所沢市,北原町1411-9,,https://gdnv989.gorp.jp/,True
やきとり家 すみれ 会津若松店,None,050-5486-7249,福島県,会津若松市,東千石2-2-1,,https://sumile-aizuwakamatsu.gorp.jp/,True
こたや,None,050-5484-0559,大阪府,泉佐野市,新浜町3,,https://ka7n705.gorp.jp/,True
旬鮮香房 たわわ,None,050-5486-1010,福島県,福島市,置賜町8-14,,https://t331100.gorp.jp/,True
寧々家 山形松見町店,None,050-5486-2456,山形県,山形市,南原町3-21-20,,http://www.d-neneya.com/,False
3時間飲み放題 個室居酒屋 ちからホール 新橋店,None,03-4323-8689,東京都,港区,新橋2-14-6,HT新橋ビル8F,https://gf1a607.gorp.jp/,True
宮崎肉問屋直送 焼肉屋 宮べこ,None,050-5494-5592,東京都,港区,新橋2-9-14,三浦ビル2F,http://www.jwa.co.jp/,False
焼き鳥食べ放題 完全個室居酒屋 鳥三平 新宿店,None,050-5488-1145,東京都,新宿区,新宿3-31-5,B1,https://ge6a112.gorp.jp/,True
