店舗名,メールアドレス,電話番号,都道府県,区市町村,番地,建物名,URL,SSL
近江屋 新宿西口店,None,050-5494-5463,東京都,新宿区,西新宿1-4-5,明広ビル3F,https://gfek623.gorp.jp/,True
レモンサワー100円＆ハイボール80円 個室居酒屋 鶏仙人 川崎店,None,050-5494-4592,神奈川県,川崎市川崎区,砂子2-4-18,藤ビル川崎5F,https://gh8e404.gorp.jp/,True
鶏料理専門店×個室 とりかく 新宿野村ビル店,None,050-5484-7258,東京都,新宿区,西新宿1-26-2,新宿野村ビルB2,https://torikaku-shinjuku-nomura-bldg.gorp.jp/,True
和ダイニング ゆめ咲小町 西梅田,None,050-5494-7001,大阪府,大阪市北区,堂島2-1-40,,https://kcvt100.gorp.jp/,True
全席個室 楽蔵‐RAKUZO‐ 大崎センタービル店,None,050-5486-0717,東京都,品川区,大崎1-5-1,大崎センタービル2F,https://rakuzo.dkdining.com/osaki/,True
肉と魚と、たまご。 個室居酒屋 殻YABURI 藤沢店,None,050-5494-7445,神奈川県,藤沢市,鵠沼橘1-17-15,関野ビル4F,https://gg99804.gorp.jp/,True
焼鳥 ハレツバメ 新宿アイランドタワー店,None,050-5485-6764,東京都,新宿区,西新宿6-4-1,新宿アイランドアトリウム2F,https://www.dynac-japan.com/shop/toridori/shinjuku_ilandtower/,True
贔屓屋 高槻店,None,050-5492-5381,大阪府,高槻市,高槻町10-12,,https://ke6b200.gorp.jp/,True
ちょいと。栞屋,None,050-5485-1417,京都府,京都市山科区,竹鼻竹ノ街道町65,,https://shioriya.com/choito/,True
窯焼きバルカフェ らんぷ＋k,None,050-5488-7347,東京都,墨田区,業平1-22-5 1F,,https://b369902.gorp.jp/,True
鶏料理専門店×個室 とりかく 日比谷シティ店,None,050-5484-7575,東京都,千代田区,内幸町2-2-3,日比谷国際ビルB2,https://www.kisoji.co.jp/torikaku/,True
馳走焔酒場 とも蔵,None,050-5485-6215,佐賀県,佐賀市,駅前中央1-4-6,モードビル5 3F,https://f628902.gorp.jp/,True
炉端と鮮魚 個室和創作居酒屋 空 kuu 西新宿,shinjuku@kuu-corporation.co.jp,050-5485-4446,東京都,新宿区,西新宿7-9-13,石川ビルB1,https://www.kuu-corporation.co.jp/kuu/index.html,True
つぼ八 津駅前店,None,050-5485-7976,三重県,津市,羽所町380-1,津駅東口ビル3F,https://www.tsubohachi.co.jp/,True
個室居酒屋 番屋 西新宿住友ビル店,None,050-5485-6725,東京都,新宿区,西新宿2-6-1,新宿住友ビル49F,https://www.banya-group.jp/shop/nishishinjuku/,True
大小個室・飲み放題・お好み焼 ジュウジュー 八幡店,None,050-5484-5694,千葉県,市原市,八幡1059-14,,https://1010yawataten.gorp.jp/,True
cafe オリジン,None,050-5494-2446,徳島県,名西郡石井町,高原字池北227-1,,https://s529100.gorp.jp/,True
九州 熱中屋 新宿野村ビル LIVE,necchuya-shinjukunomura@golden-magic.com,050-5486-1352,東京都,新宿区,西新宿1-26-2,新宿野村ビルB2,https://www.dd-holdings.jp/shops/nechuya/shinjukunomura#/,True
さくら麹 新橋店,None,050-5484-9045,東京都,港区,新橋1-18-12,新橋一丁目ビルB1,https://xn--y8jl1nk70sp2e4m2g.com/,True
オステリア ポルコヴィーノ,None,050-5486-3509,東京都,新宿区,神楽坂4-2,山本ビル2F,https://gcka304.gorp.jp/,True
霜降り牛タンと市場直送鮮魚 和食・個室居酒屋 たまち亭 田町店,None,050-5492-2473,東京都,港区,芝浦3-6-8,うつみビル2F,https://ghg5900.gorp.jp/,True
うっとり 北習志野店,None,050-5485-4129,千葉県,船橋市,習志野台2-4-5,ヨエムビル201,https://www.sola-japan.co.jp/,True
鶏料理専門店×個室 とりかく 丸の内国際ビル店,None,050-5484-5210,東京都,千代田区,丸の内3-1-1,国際ビルB1,https://www.kisoji.co.jp/torikaku/,True
素揚げと串焼き もり蔵,None,050-5485-6045,千葉県,船橋市,西船4-24-25,1F,https://gdcg902.gorp.jp/,True
牛タンと全席完全個室 東北郷土料理居酒屋 奥羽本荘 本厚木,None,050-5433-2948,神奈川県,厚木市,中町2-4-16,トキワヤビル,https://ghcz605.gorp.jp/,True
九州料理と焼鳥 4つの異世界酒場 川越横丁,None,050-5492-5924,埼玉県,川越市,新富町2-12-9,榎本ビル2F,https://ghes500.gorp.jp/,True
