店舗名,メールアドレス,電話番号,都道府県,区市町村,番地,建物名,URL,SSL
完全個室居酒屋 星夜の宴 川崎駅前店,None,03-5155-3495,神奈川県,川崎市川崎区,砂子1-3-5,第一京浜ビル4F,https://e494501.gorp.jp/,True
クラフトビール×肉 MERCADO～メルカド～,None,050-5484-8554,愛知県,豊田市,小坂本町1-12-4,愛知ビル1F,https://mercado.gorp.jp/,True
ロイヤルホスト 千田町店,None,082-247-4939,広島県,広島市中区,千田町1-11-3,エスパース千田ビル2F,https://www.royalhost.jp/,True
一汁三菜 五感,None,050-5487-3103,愛媛県,東温市,田窪1744,,https://s470800.gorp.jp/,True
万代グリル ガルベストン by Soi,None,050-5486-5839,新潟県,新潟市中央区,弁天2-3-23,橋本ビル2F,,False
全席個室ダイニング 忍家 蕨駅東口店,None,050-5485-0438,埼玉県,蕨市,塚越1-2-15,マルベリービル4F,https://www.horiifood.co.jp/,True
辣醤厨火 味くら 相馬店,None,050-5492-8587,福島県,相馬市,中村泉町2-13,,https://ta46800.gorp.jp/,True
Seasonal kitchen Yon‐Sun ～ヨンサン～,None,050-5484-4538,岡山県,岡山市南区,西市591-17,,http://kitchen43.com/,False
クエ鍋・鯨料理 個室 初代 梅田店,None,050-5484-1537,大阪府,大阪市北区,兎我野町12-15,丸一ホテル2F,https://k112500.gorp.jp/,True
加賀屋 金沢店,None,050-5484-8419,石川県,金沢市,木ノ新保町1-1,金沢百番街あんと,https://www.kagaya.co.jp/,True
焼鳥 tan,None,050-5493-3983,沖縄県,宮古島市,平良字下里557,Dコート5F,https://fbs1000.gorp.jp/,True
個室空間 湯葉豆腐料理 千年の宴 久喜西口駅前店,None,0480-25-2088,埼玉県,久喜市,久喜中央1-1-20,クッキープラザB1,https://www.monteroza.co.jp/shop.html?shop=832243,True
ロイヤルホスト 浦和南店,None,048-866-3531,埼玉県,さいたま市南区,根岸3-20-14,,https://www.royalhost.jp/,True
酒彩厨房 玄,None,050-5484-8598,静岡県,藤枝市,駅前1-9-1,1F,https://nakx800.gorp.jp/,True
山口地ビールサン・レミ・ド・プロヴァンス,None,050-5493-4993,山口県,山口市,下小鯖1360-4,,https://www.yamaguchi-jibeer.com/,True
しゃぶしゃぶ・日本料理 木曽路 豊田店,None,050-5485-2648,愛知県,豊田市,広路町2-12,,https://www.kisoji.co.jp/,True
